Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,511080,601080,23,24,53576,53576,0.993494
0.5,600000,645000,50,36,88328,69504,0.998695
0.6,750000,495000,54,45,102808,72400,0.959738
0.7,705000,540000,61,43,108600,75296,0.982739
0.8,735000,510000,66,42,111496,76744,0.968372
0.9,780000,480000,59,50,111496,79640,0.946352
1,645000,600000,66,46,111496,82536,0.998695
1.1,750000,495000,61,45,112001,85432,0.959738
1.2,735000,510000,29,55,112001,88328,0.968372
1.3,435000,825000,39,48,79739,91224,0.912571
1.4,555000,690000,45,52,79739,94120,0.988379
1.5,585000,660000,45,55,79739,98464,0.996384
1.6,555000,690000,44,59,79739,101360,0.988379
1.7,525000,720000,47,59,79739,104256,0.976056
1.8,585000,675000,43,63,79739,108600,0.994924
1.9,495000,750000,45,65,79739,111496,0.959738
2,525000,720000,46,65,79739,114392,0.976056
2.1,540000,705000,44,71,79739,118736,0.982739
2.2,450000,810000,46,71,79739,121632,0.924528
2.3,525000,720000,47,72,79739,125976,0.976056
2.4,450000,795000,48,75,82635,128872,0.928687
2.5,465000,780000,45,84,75586,133216,0.939836
2.6,480000,769960,43,105,75586,133216,0.948935
2.7,465000,788520,42,104,75586,133216,0.93755
2.8,450000,795040,45,102,78482,133216,0.928676
2.9,420000,820800,44,100,75586,133216,0.905518
3,450000,809520,36,98,57979,133216,0.924661
3.1,465000,772640,31,104,57979,133216,0.941809
3.2,315000,938640,31,102,57979,133216,0.801623
3.3,375000,868960,37,98,60875,133216,0.863798
3.4,390000,868960,32,100,57979,133216,0.873564
3.5,330000,917120,35,98,57979,133216,0.818575
3.6,435000,804400,34,100,57979,133216,0.918415
3.7,360000,885360,31,104,57979,133216,0.848925
3.8,330000,917120,37,96,57979,133216,0.818575
3.9,450000,809520,33,100,57979,133216,0.924661
4,330000,912000,27,104,54763,133216,0.819951
4.1,345000,905480,35,93,54763,133216,0.832713
4.2,420000,832440,28,102,54763,133216,0.902165
4.3,300000,933520,25,104,52113,133216,0.791282
4.4,360000,900720,30,98,52113,133216,0.844628
4.5,360000,885360,26,102,52113,133216,0.848925
4.6,285000,960160,25,104,52113,133216,0.772791
4.7,375000,874080,28,98,52113,133216,0.862332
4.8,330000,912000,22,100,43873,133216,0.819951
4.9,255000,1.0018e+06,24,99,43873,133216,0.739053
5,360000,890480,24,99,43873,133216,0.847484
5.1,285000,950280,25,102,46769,133216,0.775162
5.2,270000,981680,23,102,43873,133216,0.755696
5.3,315000,938640,24,98,43873,133216,0.801623
5.4,315000,932120,23,101,43873,133216,0.803301
5.5,270000,981680,23,101,43873,133216,0.755696
5.6,315000,923640,24,98,43873,133216,0.805508
5.7,315000,932120,23,99,43133,133216,0.803301
5.8,285000,966680,21,102,43133,133216,0.771247
5.9,300000,953640,23,99,43133,133216,0.786255
6,285000,960160,25,97,44681,133216,0.772791
6.1,300000,945160,20,100,41785,133216,0.788356
6.2,255000,986800,23,98,41785,133216,0.742235
6.3,300000,953640,24,99,41785,133216,0.786255
6.4,300000,945160,21,100,41063,133216,0.788356
