Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,511080,601080,23,24,53576,53576,0.993494
0.5,600000,645000,50,36,88328,69504,0.998695
0.6,750000,495000,54,45,102808,72400,0.959738
0.7,705000,540000,61,43,108600,75296,0.982739
0.8,735000,510000,66,42,111496,76744,0.968372
0.9,780000,480000,59,50,111496,79640,0.946352
1,645000,600000,66,46,111496,82536,0.998695
1.1,750000,495000,61,45,112001,85432,0.959738
1.2,735000,510000,29,55,112001,88328,0.968372
1.3,435000,825000,39,48,79739,91224,0.912571
1.4,555000,690000,46,52,82635,94120,0.988379
1.5,585000,660000,43,55,79739,98464,0.996384
1.6,540000,705000,45,58,79739,101360,0.982739
1.7,570000,675000,45,61,79739,104256,0.992937
1.8,525000,735000,44,63,79739,108600,0.972973
1.9,510000,735000,46,64,79739,111496,0.968372
2,570000,675000,44,67,79739,114392,0.992937
2.1,480000,765000,44,71,79739,118736,0.950207
2.2,480000,780000,48,69,79739,121632,0.946352
2.3,525000,720000,47,74,82635,125976,0.976056
2.4,450000,795000,46,75,79739,128872,0.928687
2.5,495000,750000,43,86,75586,133216,0.959738
2.6,435000,817240,43,103,75586,133216,0.914767
2.7,450000,803520,47,99,78482,133216,0.926324
2.8,450000,789400,44,102,75586,133216,0.930242
2.9,420000,835800,48,97,75586,133216,0.901202
3,495000,741240,31,104,56914,133216,0.961839
3.1,420000,835800,30,103,56914,133216,0.901202
3.2,360000,880600,28,102,56914,133216,0.850272
3.3,330000,917120,36,96,56914,133216,0.818575
3.4,390000,868960,31,102,56914,133216,0.873564
3.5,345000,905480,31,101,56914,133216,0.832713
3.6,375000,868960,37,97,59810,133216,0.863798
3.7,390000,853960,30,102,56914,133216,0.877881
3.8,330000,917120,32,100,56914,133216,0.818575
3.9,420000,825920,31,102,56914,133216,0.90404
4,345000,912000,28,102,54763,133216,0.830932
4.1,300000,943760,31,98,54763,133216,0.788705
4.2,450000,799280,28,102,54763,133216,0.927499
4.3,300000,938640,26,104,50866,133216,0.789989
4.4,285000,975160,32,95,50866,133216,0.769261
4.5,435000,805800,28,102,53762,133216,0.918017
4.6,285000,965280,26,102,50866,133216,0.771577
4.7,285000,960160,33,94,50866,133216,0.772791
4.8,450000,799280,17,102,42579,133216,0.927499
4.9,195000,1.05136e+06,21,100,42579,133216,0.679306
5,270000,986800,28,92,42579,133216,0.754555
5.1,375000,874080,19,102,42579,133216,0.862332
5.2,225000,1.0182e+06,22,101,42579,133216,0.71069
5.3,270000,981680,26,95,42579,133216,0.755696
5.4,360000,880600,22,100,45475,133216,0.850272
5.5,255000,986800,21,102,42579,133216,0.742235
5.6,255000,998080,26,96,42579,133216,0.739835
5.7,345000,900720,22,100,42579,133216,0.834023
5.8,270000,981680,20,102,41785,133216,0.755696
5.9,255000,996680,25,97,44681,133216,0.740131
6,375000,875480,18,100,41785,133216,0.861932
6.1,210000,1.03496e+06,21,100,41785,133216,0.694883
6.2,270000,975160,24,99,41785,133216,0.757163
6.3,330000,918520,21,98,42762,133216,0.818201
6.4,255000,991920,17,100,37472,133216,0.741141
