Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,511080,601080,23,24,53576,53576,0.993494
0.5,600000,645000,50,36,88328,69504,0.998695
0.6,750000,495000,54,45,102808,72400,0.959738
0.7,705000,540000,61,43,108600,75296,0.982739
0.8,735000,510000,66,42,111496,76744,0.968372
0.9,780000,480000,59,50,111496,79640,0.946352
1,645000,600000,66,46,111496,82536,0.998695
1.1,750000,495000,61,45,112001,85432,0.959738
1.2,735000,510000,29,55,112001,88328,0.968372
1.3,435000,825000,39,48,79739,91224,0.912571
1.4,555000,690000,46,52,79739,94120,0.988379
1.5,600000,645000,45,56,79739,98464,0.998695
1.6,540000,705000,44,59,79739,101360,0.982739
1.7,525000,720000,46,59,79739,104256,0.976056
1.8,585000,675000,46,63,82635,108600,0.994924
1.9,495000,750000,45,65,79739,111496,0.959738
2,510000,735000,46,66,79739,114392,0.968372
2.1,555000,690000,44,71,79739,118736,0.988379
2.2,450000,810000,45,71,79739,121632,0.924528
2.3,510000,735000,48,71,79739,125976,0.968372
2.4,480000,765000,46,76,79739,128872,0.950207
2.5,450000,795000,43,87,75586,133216,0.928687
2.6,495000,754960,42,104,75586,133216,0.95854
2.7,435000,820800,43,104,75586,133216,0.913759
2.8,480000,761360,43,104,75586,133216,0.951138
2.9,405000,837200,44,102,75586,133216,0.892016
3,450000,809520,34,98,56914,133216,0.924661
3.1,480000,756240,30,106,59810,133216,0.952444
3.2,285000,970040,30,101,56914,133216,0.770457
3.3,360000,880600,38,94,56914,133216,0.850272
3.4,420000,842320,29,102,56914,133216,0.899338
3.5,300000,943760,31,102,56914,133216,0.788705
3.6,420000,825920,36,96,56914,133216,0.90404
3.7,375000,863840,29,106,56914,133216,0.865273
3.8,285000,965280,32,100,56914,133216,0.771577
3.9,480000,772640,31,100,56914,133216,0.948247
4,315000,938640,29,104,56616,133216,0.801623
4.1,285000,960160,34,94,53720,133216,0.772791
4.2,435000,809520,30,102,53720,133216,0.916958
4.3,330000,912000,26,104,50704,133216,0.819951
4.4,285000,975160,36,93,53600,133216,0.769261
4.5,420000,820800,24,101,50704,133216,0.905518
4.6,285000,966680,28,100,50704,133216,0.771247
4.7,345000,900720,31,96,50704,133216,0.834023
4.8,360000,890480,20,102,42579,133216,0.847484
4.9,240000,1.0032e+06,24,100,45475,133216,0.726284
5,360000,895600,19,98,42579,133216,0.846052
5.1,240000,1.00832e+06,22,100,42579,133216,0.725258
5.2,270000,975160,23,99,42579,133216,0.757163
5.3,330000,918520,23,98,42579,133216,0.818201
5.4,285000,965280,21,100,42579,133216,0.771577
5.5,255000,981680,25,96,42579,133216,0.74334
5.6,330000,917120,23,100,42579,133216,0.818575
5.7,270000,981680,22,100,42579,133216,0.755696
5.8,285000,965280,25,96,44140,133216,0.771577
5.9,300000,955040,21,96,41244,133216,0.785911
6,270000,965280,22,100,41244,133216,0.759415
6.1,315000,943760,22,100,41244,133216,0.800315
6.2,270000,976560,22,98,41244,133216,0.756847
6.3,270000,975160,21,99,39866,133216,0.757163
6.4,300000,950280,20,96,37344,133216,0.787084
